# IdentifierType.txt
# Date: 2025-08-04, 21:58:43 GMT
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Unicode Security Mechanisms for UTS #39
# Version: 17.0.0
#
# For documentation and usage, see https://www.unicode.org/reports/tr39
#
# Format
#
# Field 0: code point
# Field 1: set of Identifier_Type values
#          See the "Identifier_Status and Identifier_Type" table of UTS #39:
#          https://www.unicode.org/reports/tr39/#Identifier_Status_and_Type

#
# For the purpose of regular expressions, the property Identifier_Type is defined as
# mapping each code point to a set of enumerated values.
# The short name of Identifier_Type is ID_Type.
# The possible values are:
#   Not_Character, Deprecated, Default_Ignorable, Not_NFKC, Not_XID,
#   Exclusion, Obsolete, Technical, Uncommon_Use, Limited_Use, Inclusion, Recommended
# The short name of each value is the same as its long name.

# All code points not explicitly listed for Identifier_Type
# have the value Not_Character.

# @missing: 0000..10FFFF; Not_Character

# As usual, sets are unordered, with no duplicate values.


#	Identifier_Type:	Recommended

0DB3..0DBB    ; Recommended                    # 3.0    [9] SINHALA LETTER SANYAKA DAYANNA..SINHALA LETTER RAYANNA
0DBD          ; Recommended                    # 3.0        SINHALA LETTER DANTAJA LAYANNA
0DC0..0DC6    ; Recommended                    # 3.0    [7] SINHALA LETTER VAYANNA..SINHALA LETTER FAYANNA
0DCA          ; Recommended                    # 3.0        SINHALA SIGN AL-LAKUNA
0DCF..0DD4    ; Recommended                    # 3.0    [6] SINHALA VOWEL SIGN AELA-PILLA..SINHALA VOWEL SIGN KETTI PAA-PILLA
0DD6          ; Recommended                    # 3.0        SINHALA VOWEL SIGN DIGA PAA-PILLA
0DD8..0DDE    ; Recommended                    # 3.0    [7] SINHALA VOWEL SIGN GAETTA-PILLA..SINHALA VOWEL SIGN KOMBUVA HAA GAYANUKITTA
0DF2          ; Recommended                    # 3.0        SINHALA VOWEL SIGN DIGA GAETTA-PILLA
0E01..0E32    ; Recommended                    # 1.1   [50] THAI CHARACTER KO KAI..THAI CHARACTER SARA AA
0E34..0E3A    ; Recommended                    # 1.1    [7] THAI CHARACTER SARA I..THAI CHARACTER PHINTHU
0E40..0E4D    ; Recommended                    # 1.1   [14] THAI CHARACTER SARA E..THAI CHARACTER NIKHAHIT
0E50..0E59    ; Recommended                    # 1.1   [10] THAI DIGIT ZERO..THAI DIGIT NINE
0E81..0E82    ; Recommended                    # 1.1    [2] LAO LETTER KO..LAO LETTER KHO SUNG
0E84          ; Recommended                    # 1.1        LAO LETTER KHO TAM
0E87..0E88    ; Recommended                    # 1.1    [2] LAO LETTER NGO..LAO LETTER CO
0E8A          ; Recommended                    # 1.1        LAO LETTER SO TAM
0E8D          ; Recommended                    # 1.1        LAO LETTER NYO
0E94..0E97    ; Recommended                    # 1.1    [4] LAO LETTER DO..LAO LETTER THO TAM
0E99..0E9F    ; Recommended                    # 1.1    [7] LAO LETTER NO..LAO LETTER FO SUNG
0EA1..0EA3    ; Recommended                    # 1.1    [3] LAO LETTER MO..LAO LETTER LO LING
0EA5          ; Recommended                    # 1.1        LAO LETTER LO LOOT
0EA7          ; Recommended                    # 1.1        LAO LETTER WO
0EAA..0EAB    ; Recommended                    # 1.1    [2] LAO LETTER SO SUNG..LAO LETTER HO SUNG
0EAD..0EAE    ; Recommended                    # 1.1    [2] LAO LETTER O..LAO LETTER HO TAM
0EB0..0EB2    ; Recommended                    # 1.1    [3] LAO VOWEL SIGN A..LAO VOWEL SIGN AA
0EB4..0EB9    ; Recommended                    # 1.1    [6] LAO VOWEL SIGN I..LAO VOWEL SIGN UU
0EBB..0EBD    ; Recommended                    # 1.1    [3] LAO VOWEL SIGN MAI KON..LAO SEMIVOWEL SIGN NYO
0EC0..0EC4    ; Recommended                    # 1.1    [5] LAO VOWEL SIGN E..LAO VOWEL SIGN AI
0EC6          ; Recommended                    # 1.1        LAO KO LA
0EC8..0ECD    ; Recommended                    # 1.1    [6] LAO TONE MAI EK..LAO NIGGAHITA
0ED0..0ED9    ; Recommended                    # 1.1   [10] LAO DIGIT ZERO..LAO DIGIT NINE
0F20..0F29    ; Recommended                    # 2.0   [10] TIBETAN DIGIT ZERO..TIBETAN DIGIT NINE
0F40..0F42    ; Recommended                    # 2.0    [3] TIBETAN LETTER KA..TIBETAN LETTER GA
0F44..0F47    ; Recommended                    # 2.0    [4] TIBETAN LETTER NGA..TIBETAN LETTER JA
0F49..0F4C    ; Recommended                    # 2.0    [4] TIBETAN LETTER NYA..TIBETAN LETTER DDA
0F4E..0F51    ; Recommended                    # 2.0    [4] TIBETAN LETTER NNA..TIBETAN LETTER DA
0F53..0F56    ; Recommended                    # 2.0    [4] TIBETAN LETTER NA..TIBETAN LETTER BA
0F58..0F5B    ; Recommended                    # 2.0    [4] TIBETAN LETTER MA..TIBETAN LETTER DZA
0F5D..0F68    ; Recommended                    # 2.0   [12] TIBETAN LETTER WA..TIBETAN LETTER A
0F71..0F72    ; Recommended                    # 2.0    [2] TIBETAN VOWEL SIGN AA..TIBETAN VOWEL SIGN I
0F74          ; Recommended                    # 2.0        TIBETAN VOWEL SIGN U
0F7A..0F80    ; Recommended                    # 2.0    [7] TIBETAN VOWEL SIGN E..TIBETAN VOWEL SIGN REVERSED I
0F84          ; Recommended                    # 2.0        TIBETAN MARK HALANTA
0F90..0F92    ; Recommended                    # 2.0    [3] TIBETAN SUBJOINED LETTER KA..TIBETAN SUBJOINED LETTER GA
0F94..0F95    ; Recommended                    # 2.0    [2] TIBETAN SUBJOINED LETTER NGA..TIBETAN SUBJOINED LETTER CA
0F96          ; Recommended                    # 3.0        TIBETAN SUBJOINED LETTER CHA
0F97          ; Recommended                    # 2.0        TIBETAN SUBJOINED LETTER JA
0F99..0F9C    ; Recommended                    # 2.0    [4] TIBETAN SUBJOINED LETTER NYA..TIBETAN SUBJOINED LETTER DDA
0F9E..0FA1    ; Recommended                    # 2.0    [4] TIBETAN SUBJOINED LETTER NNA..TIBETAN SUBJOINED LETTER DA
0FA3..0FA6    ; Recommended                    # 2.0    [4] TIBETAN SUBJOINED LETTER NA..TIBETAN SUBJOINED LETTER BA
0FA8..0FAB    ; Recommended                    # 2.0    [4] TIBETAN SUBJOINED LETTER MA..TIBETAN SUBJOINED LETTER DZA
0FAD          ; Recommended                    # 2.0        TIBETAN SUBJOINED LETTER WA
0FB1..0FB7    ; Recommended                    # 2.0    [7] TIBETAN SUBJOINED LETTER YA..TIBETAN SUBJOINED LETTER HA
0FB8          ; Recommended                    # 3.0        TIBETAN SUBJOINED LETTER A
0FBA..0FBC    ; Recommended                    # 3.0    [3] TIBETAN SUBJOINED LETTER FIXED-FORM WA..TIBETAN SUBJOINED LETTER FIXED-FORM RA
1000..1021    ; Recommended                    # 3.0   [34] MYANMAR LETTER KA..MYANMAR LETTER A
1022          ; Recommended                    # 5.1        MYANMAR LETTER SHAN A
1023..1027    ; Recommended                    # 3.0    [5] MYANMAR LETTER I..MYANMAR LETTER E
1028          ; Recommended                    # 5.1        MYANMAR LETTER MON E
1029..102A    ; Recommended                    # 3.0    [2] MYANMAR LETTER O..MYANMAR LETTER AU
102B          ; Recommended                    # 5.1        MYANMAR VOWEL SIGN TALL AA
102C..1032    ; Recommended                    # 3.0    [7] MYANMAR VOWEL SIGN AA..MYANMAR VOWEL SIGN AI
1033..1035    ; Recommended                    # 5.1    [3] MYANMAR VOWEL SIGN MON II..MYANMAR VOWEL SIGN E ABOVE
1036..1039    ; Recommended                    # 3.0    [4] MYANMAR SIGN ANUSVARA..MYANMAR SIGN VIRAMA
103A..103F    ; Recommended                    # 5.1    [6] MYANMAR SIGN ASAT..MYANMAR LETTER GREAT SA
1040..1049    ; Recommended                    # 3.0   [10] MYANMAR DIGIT ZERO..MYANMAR DIGIT NINE
105A..1064    ; Recommended                    # 5.1   [11] MYANMAR LETTER MON NGA..MYANMAR TONE MARK SGAW KAREN KE PHO
1075..108A    ; Recommended                    # 5.1   [22] MYANMAR LETTER SHAN KA..MYANMAR SIGN SHAN TONE-6
108F          ; Recommended                    # 5.1        MYANMAR SIGN RUMAI PALAUNG TONE-5
10C7          ; Recommended                    # 6.1        GEORGIAN CAPITAL LETTER YN
10CD          ; Recommended                    # 6.1        GEORGIAN CAPITAL LETTER AEN
10D0..10F0    ; Recommended                    # 1.1   [33] GEORGIAN LETTER AN..GEORGIAN LETTER HAE
1200..1206    ; Recommended                    # 3.0    [7] ETHIOPIC SYLLABLE HA..ETHIOPIC SYLLABLE HO
1208..1246    ; Recommended                    # 3.0   [63] ETHIOPIC SYLLABLE LA..ETHIOPIC SYLLABLE QO
1247          ; Recommended                    # 4.1        ETHIOPIC SYLLABLE QOA
1248          ; Recommended                    # 3.0        ETHIOPIC SYLLABLE QWA
124A..124D    ; Recommended                    # 3.0    [4] ETHIOPIC SYLLABLE QWI..ETHIOPIC SYLLABLE QWE
1250..1256    ; Recommended                    # 3.0    [7] ETHIOPIC SYLLABLE QHA..ETHIOPIC SYLLABLE QHO
1258          ; Recommended                    # 3.0        ETHIOPIC SYLLABLE QHWA
125A..125D    ; Recommended                    # 3.0    [4] ETHIOPIC SYLLABLE QHWI..ETHIOPIC SYLLABLE QHWE
1260..1286    ; Recommended                    # 3.0   [39] ETHIOPIC SYLLABLE BA..ETHIOPIC SYLLABLE XO
1288          ; Recommended                    # 3.0        ETHIOPIC SYLLABLE XWA
128A..128D    ; Recommended                    # 3.0    [4] ETHIOPIC SYLLABLE XWI..ETHIOPIC SYLLABLE XWE
1290..12AE    ; Recommended                    # 3.0   [31] ETHIOPIC SYLLABLE NA..ETHIOPIC SYLLABLE KO
12B0          ; Recommended                    # 3.0        ETHIOPIC SYLLABLE KWA
12B2..12B5    ; Recommended                    # 3.0    [4] ETHIOPIC SYLLABLE KWI..ETHIOPIC SYLLABLE KWE
12B8..12BE    ; Recommended                    # 3.0    [7] ETHIOPIC SYLLABLE KXA..ETHIOPIC SYLLABLE KXO
12C0          ; Recommended                    # 3.0        ETHIOPIC SYLLABLE KXWA
12C2..12C5    ; Recommended                    # 3.0    [4] ETHIOPIC SYLLABLE KXWI..ETHIOPIC SYLLABLE KXWE
12C8..12CE    ; Recommended                    # 3.0    [7] ETHIOPIC SYLLABLE WA..ETHIOPIC SYLLABLE WO
12CF          ; Recommended                    # 4.1        ETHIOPIC SYLLABLE WOA
12D0..12D6    ; Recommended                    # 3.0    [7] ETHIOPIC SYLLABLE PHARYNGEAL A..ETHIOPIC SYLLABLE PHARYNGEAL O
12D8..12EE    ; Recommended                    # 3.0   [23] ETHIOPIC SYLLABLE ZA..ETHIOPIC SYLLABLE YO
12EF          ; Recommended                    # 4.1        ETHIOPIC SYLLABLE YOA
12F0..12F7    ; Recommended                    # 3.0    [8] ETHIOPIC SYLLABLE DA..ETHIOPIC SYLLABLE DWA
1300..130E    ; Recommended                    # 3.0   [15] ETHIOPIC SYLLABLE JA..ETHIOPIC SYLLABLE GO
1310          ; Recommended                    # 3.0        ETHIOPIC SYLLABLE GWA
1312..1315    ; Recommended                    # 3.0    [4] ETHIOPIC SYLLABLE GWI..ETHIOPIC SYLLABLE GWE
1318..131E    ; Recommended                    # 3.0    [7] ETHIOPIC SYLLABLE GGA..ETHIOPIC SYLLABLE GGO
1320..1346    ; Recommended                    # 3.0   [39] ETHIOPIC SYLLABLE THA..ETHIOPIC SYLLABLE TZO
1348..1359    ; Recommended                    # 3.0   [18] ETHIOPIC SYLLABLE FA..ETHIOPIC SYLLABLE MYA
1780..179C    ; Recommended                    # 3.0   [29] KHMER LETTER KA..KHMER LETTER VO
179F..17A2    ; Recommended                    # 3.0    [4] KHMER LETTER SA..KHMER LETTER QA
17A5..17A7    ; Recommended                    # 3.0    [3] KHMER INDEPENDENT VOWEL QI..KHMER INDEPENDENT VOWEL QU
17AA..17B3    ; Recommended                    # 3.0   [10] KHMER INDEPENDENT VOWEL QUUV..KHMER INDEPENDENT VOWEL QAU
17B6..17CD    ; Recommended                    # 3.0   [24] KHMER VOWEL SIGN AA..KHMER SIGN TOANDAKHIAT
17D0          ; Recommended                    # 3.0        KHMER SIGN SAMYOK SANNYA
17D2          ; Recommended                    # 3.0        KHMER SIGN COENG
17E0..17E9    ; Recommended                    # 3.0   [10] KHMER DIGIT ZERO..KHMER DIGIT NINE
1C90..1CBA    ; Recommended                    # 11.0  [43] GEORGIAN MTAVRULI CAPITAL LETTER AN..GEORGIAN MTAVRULI CAPITAL LETTER AIN
1CBD..1CBF    ; Recommended                    # 11.0   [3] GEORGIAN MTAVRULI CAPITAL LETTER AEN..GEORGIAN MTAVRULI CAPITAL LETTER LABIAL SIGN
1E0C..1E0D    ; Recommended                    # 1.1    [2] LATIN CAPITAL LETTER D WITH DOT BELOW..LATIN SMALL LETTER D WITH DOT BELOW
1E12..1E13    ; Recommended                    # 1.1    [2] LATIN CAPITAL LETTER D WITH CIRCUMFLEX BELOW..LATIN SMALL LETTER D WITH CIRCUMFLEX BELOW
1E20..1E21    ; Recommended                    # 1.1    [2] LATIN CAPITAL LETTER G WITH MACRON..LATIN SMALL LETTER G WITH MACRON
1E24..1E25    ; Recommended                    # 1.1    [2] LATIN CAPITAL LETTER H WITH DOT BELOW..LATIN SMALL LETTER H WITH DOT BELOW
1E36..1E37    ; Recommended                    # 1.1    [2] LATIN CAPITAL LETTER L WITH DOT BELOW..LATIN SMALL LETTER L WITH DOT BELOW
1E3C..1E3F    ; Recommended                    # 1.1    [4] LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW..LATIN SMALL LETTER M WITH ACUTE
1E42..1E4B    ; Recommended                    # 1.1   [10] LATIN CAPITAL LETTER M WITH DOT BELOW..LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW
1E5A..1E5B    ; Recommended                    # 1.1    [2] LATIN CAPITAL LETTER R WITH DOT BELOW..LATIN SMALL LETTER R WITH DOT BELOW
1E62..1E63    ; Recommended                    # 1.1    [2] LATIN CAPITAL LETTER S WITH DOT BELOW..LATIN SMALL LETTER S WITH DOT BELOW
1E6C..1E6D    ; Recommended                    # 1.1    [2] LATIN CAPITAL LETTER T WITH DOT BELOW..LATIN SMALL LETTER T WITH DOT BELOW
1E70..1E71    ; Recommended                    # 1.1    [2] LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW..LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW
1E8C..1E8D    ; Recommended                    # 1.1    [2] LATIN CAPITAL LETTER X WITH DIAERESIS..LATIN SMALL LETTER X WITH DIAERESIS
1E92..1E93    ; Recommended                    # 1.1    [2] LATIN CAPITAL LETTER Z WITH DOT BELOW..LATIN SMALL LETTER Z WITH DOT BELOW
1E9E          ; Recommended                    # 5.1        LATIN CAPITAL LETTER SHARP S
1EA0..1EF9    ; Recommended                    # 1.1   [90] LATIN CAPITAL LETTER A WITH DOT BELOW..LATIN SMALL LETTER Y WITH TILDE
1FA0..1FAF    ; Recommended                    # 1.1   [16] GREEK SMALL LETTER OMEGA WITH PSILI AND YPOGEGRAMMENI..GREEK CAPITAL LETTER OMEGA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
1FB2..1FB4    ; Recommended                    # 1.1    [3] GREEK SMALL LETTER ALPHA WITH VARIA AND YPOGEGRAMMENI..GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI
1FEC          ; Recommended                    # 1.1        GREEK CAPITAL LETTER RHO WITH DASIA
3005..3007    ; Recommended                    # 1.1    [3] IDEOGRAPHIC ITERATION MARK..IDEOGRAPHIC NUMBER ZERO
3041..3094    ; Recommended                    # 1.1   [84] HIRAGANA LETTER SMALL A..HIRAGANA LETTER VU
3095..3096    ; Recommended                    # 3.2    [2] HIRAGANA LETTER SMALL KA..HIRAGANA LETTER SMALL KE
309D..309E    ; Recommended                    # 1.1    [2] HIRAGANA ITERATION MARK..HIRAGANA VOICED ITERATION MARK
30A1..30FA    ; Recommended                    # 1.1   [90] KATAKANA LETTER SMALL A..KATAKANA LETTER VO
30FC..30FE    ; Recommended                    # 1.1    [3] KATAKANA-HIRAGANA PROLONGED SOUND MARK..KATAKANA VOICED ITERATION MARK
3447          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3447
3473          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3473
34E4          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-34E4
3577          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3577
359E          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-359E
35A1          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-35A1
35AD          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-35AD
35BF          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-35BF
35CE          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-35CE
35F3          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-35F3
35FE          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-35FE
360E          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-360E
361A          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-361A
3918          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3918
3960          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3960
396E          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-396E
39CF..39D0    ; Recommended                    # 3.0    [2] CJK UNIFIED IDEOGRAPH-39CF..CJK UNIFIED IDEOGRAPH-39D0
39DB          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-39DB
39DF          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-39DF
39F8          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-39F8
39FE          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-39FE
3A18          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3A18
3A52          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3A52
3A5C          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3A5C
3A67          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3A67
3A73          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3A73
3B39          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3B39
3B4E          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3B4E
3BA3          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3BA3
3C6E          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3C6E
3CE0          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3CE0
3DE7          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3DE7
3DEB          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3DEB
3E74          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3E74
3ED0          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-3ED0
4056          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-4056
4065          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-4065
406A          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-406A
40BB          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-40BB
40DF          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-40DF
4137          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-4137
415F          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-415F
4337          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-4337
43AC          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-43AC
43B1          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-43B1
43D3          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-43D3
43DD          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-43DD
4443          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-4443
44D6          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-44D6
44EA          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-44EA
4606          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-4606
464C          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-464C
4661          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-4661
4723          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-4723
4729          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-4729
477C          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-477C
478D          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-478D
47F4          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-47F4
4882          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-4882
4947          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-4947
497A          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-497A
497D          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-497D
4982..4983    ; Recommended                    # 3.0    [2] CJK UNIFIED IDEOGRAPH-4982..CJK UNIFIED IDEOGRAPH-4983
4985..4986    ; Recommended                    # 3.0    [2] CJK UNIFIED IDEOGRAPH-4985..CJK UNIFIED IDEOGRAPH-4986
499B          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-499B
499F          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-499F
49B6..49B7    ; Recommended                    # 3.0    [2] CJK UNIFIED IDEOGRAPH-49B6..CJK UNIFIED IDEOGRAPH-49B7
4A12          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-4A12
4AB8          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-4AB8
4C77          ; Recommended                    # 3.0        CJK UNIFIED IDEOGRAPH-4C77
